Index,AirportID,City,Country,Latitude,Longitude,Timezone
1,Goroka Airport,Goroka,Papua New Guinea,-6.081689835,145.3919983,10
2,Madang Airport,Madang,Papua New Guinea,-5.207079887,145.7890015,10
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.826789856,144.2960052,10
4,Nadzab Airport,Nadzab,Papua New Guinea,-6.569803,146.725977,10
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,-9.443380356,147.2200012,10
6,Wewak International Airport,Wewak,Papua New Guinea,-3.583830118,143.6690063,10
7,Narsarsuaq Airport,Narssarssuaq,Greenland,61.16049957,-45.42599869,-3
8,Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090271,-51.67810059,-3
9,Kangerlussuaq Airport,Sondrestrom,Greenland,67.0122219,-50.71160316,-3
10,Thule Air Base,Thule,Greenland,76.53119659,-68.70320129,-4
11,Akureyri Airport,Akureyri,Iceland,65.66000366,-18.0727005,0
12,Egilsstaðir Airport,Egilsstadir,Iceland,65.28330231,-14.40139961,0
13,Hornafjörður Airport,Hofn,Iceland,64.295601,-15.2272,0
14,Húsavík Airport,Husavik,Iceland,65.952301,-17.426001,0
15,Ísafjörður Airport,Isafjordur,Iceland,66.05809784,-23.13529968,0
16,Keflavik International Airport,Keflavik,Iceland,63.98500061,-22.60560036,0
17,Patreksfjörður Airport,Patreksfjordur,Iceland,65.555801,-23.965,0
18,Reykjavik Airport,Reykjavik,Iceland,64.12999725,-21.94059944,0
19,Siglufjörður Airport,Siglufjordur,Iceland,66.133301,-18.9167,0
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,63.42430115,-20.27890015,0
21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,46.48500061,-84.50939941,-5
22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,50.0564003,-97.03250122,-6
23,Halifax / CFB Shearwater Heliport,Halifax,Canada,44.639702,-63.499401,-4
24,St. Anthony Airport,St. Anthony,Canada,51.39189911,-56.08309937,-3.5
25,Tofino / Long Beach Airport,Tofino,Canada,49.079833,-125.775583,-8
26,Kugaaruk Airport,Pelly Bay,Canada,68.534401,-89.808098,-7
27,Baie Comeau Airport,Baie Comeau,Canada,49.13249969,-68.20439911,-5
28,CFB Bagotville,Bagotville,Canada,48.33060074,-70.99639893,-5
29,Baker Lake Airport,Baker Lake,Canada,64.29889679,-96.07779694,-6
30,Campbell River Airport,Campbell River,Canada,49.95080185,-125.2710037,-8
31,Brandon Municipal Airport,Brandon,Canada,49.91,-99.951897,-6
32,Cambridge Bay Airport,Cambridge Bay,Canada,69.10810089,-105.1380005,-7
33,Nanaimo Airport,Nanaimo,Canada,49.05497022,-123.8698626,-8
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,49.29639816,-117.6320038,-8
35,Miramichi Airport,Chatham,Canada,47.007801,-65.449203,-4
36,Charlo Airport,Charlo,Canada,47.990799,-66.330299,-4
37,Kugluktuk Airport,Coppermine,Canada,67.816704,-115.143997,-7
38,Coronation Airport,Coronation,Canada,52.07500076,-111.4449997,-7
39,Chilliwack Airport,Chilliwack,Canada,49.15280151,-121.939003,-8
40,Clyde River Airport,Clyde River,Canada,70.48609924,-68.51670074,-5
41,Coral Harbour Airport,Coral Harbour,Canada,64.19329834,-83.35939789,-5
42,Dawson City Airport,Dawson,Canada,64.04309845,-139.128006,-8
43,Burwash Airport,Burwash,Canada,61.37110138,-139.0410004,-8
44,Princeton Airport,Princeton,Canada,49.4681015,-120.5110016,-8
45,Deer Lake Airport,Deer Lake,Canada,49.21080017,-57.39139938,-3.5
46,Dease Lake Airport,Dease Lake,Canada,58.42219925,-130.0319977,-8
47,Dauphin Barker Airport,Dauphin,Canada,51.10079956,-100.052002,-6
48,Dawson Creek Airport,Dawson Creek,Canada,55.74229813,-120.1829987,-7
49,Edmonton International Airport,Edmonton,Canada,53.30970001,-113.5800018,-7
50,Arviat Airport,Eskimo Point,Canada,61.09420013,-94.07080078,-6
51,Estevan Airport,Estevan,Canada,49.21030045,-102.9660034,-6
52,Edson Airport,Edson,Canada,53.57889938,-116.4649963,-7
53,Eureka Airport,Eureka,Canada,79.99469757,-85.81420136,-6
54,Inuvik Mike Zubko Airport,Inuvik,Canada,68.30419922,-133.4830017,-7
55,Iqaluit Airport,Iqaluit,Canada,63.756402,-68.555801,-5
56,Fredericton Airport,Fredericton,Canada,45.8689003,-66.53720093,-4
57,Forestville Airport,Forestville,Canada,48.74610138,-69.09719849,-5
58,Flin Flon Airport,Flin Flon,Canada,54.67810059,-101.6819992,-6
59,Fort Resolution Airport,Fort Resolution,Canada,61.18080139,-113.6900024,-7
60,Fort Simpson Airport,Fort Simpson,Canada,61.7602005,-121.2369995,-7
61,Kingston Norman Rogers Airport,Kingston,Canada,44.22529984,-76.59690094,-5
62,La Grande Rivière Airport,La Grande Riviere,Canada,53.62530136,-77.70420074,-5
63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,48.77529907,-64.47859955,-5
64,Geraldton Greenstone Regional Airport,Geraldton,Canada,49.77830124,-86.93939972,-5
65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,47.42470169,-61.77809906,-5
66,Hudson Bay Airport,Hudson Bay,Canada,52.81669998,-102.310997,-6
67,Dryden Regional Airport,Dryden,Canada,49.831699,-92.744202,-6
68,Ulukhaktok Holman Airport,Holman Island,Canada,70.76280212,-117.8059998,-7
69,Gjoa Haven Airport,Gjoa Haven,Canada,68.63559723,-95.84970093,-7
70,John C. Munro Hamilton International Airport,Hamilton,Canada,43.17359924,-79.93499756,-5
71,Montréal / Saint-Hubert Airport,Montreal,Canada,45.51750183,-73.41690063,-5
72,Hay River / Merlyn Carter Airport,Hay River,Canada,60.83969879,-115.7829971,-7
73,Halifax / Stanfield International Airport,Halifax,Canada,44.88079834,-63.50859833,-4
74,Atikokan Municipal Airport,Atikokan,Canada,48.77389908,-91.63860321,-5
75,Pond Inlet Airport,Pond Inlet,Canada,72.6832962,-77.96669769,-5
76,St Jean Airport,St. Jean,Canada,45.29439926,-73.28109741,-5
77,Stephenville Airport,Stephenville,Canada,48.5442009,-58.54999924,-3.5
78,Kamloops Airport,Kamloops,Canada,50.70220184,-120.4440002,-8
79,Waterloo Airport,Waterloo,Canada,43.46080017,-80.37860107,-5
80,Schefferville Airport,Schefferville,Canada,54.80530167,-66.80529785,-5
81,Kindersley Airport,Kindersley,Canada,51.51750183,-109.1809998,-6
82,Buttonville Municipal Airport,Toronto,Canada,43.86220169,-79.37000275,-5
83,Chapleau Airport,Chapleau,Canada,47.81999969,-83.34670258,-5
84,Meadow Lake Airport,Meadow Lake,Canada,54.12530136,-108.5230026,-6
85,Lloydminster Airport,Lloydminster,Canada,53.30920029,-110.072998,-7
86,Alert Airport,Alert,Canada,82.51779938,-62.2806015,-5
87,Kelowna International Airport,Kelowna,Canada,49.95610046,-119.3779984,-8
88,Mayo Airport,Mayo,Canada,63.61640167,-135.8679962,-8
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,50.33029938,-105.5589981,-6
90,Fort McMurray Airport,Fort Mcmurray,Canada,56.65330124,-111.2220001,-7
91,Moosonee Airport,Moosonee,Canada,51.29109955,-80.60780334,-5
92,Maniwaki Airport,Maniwaki,Canada,46.27280045,-75.99060059,-5
93,Montreal International (Mirabel) Airport,Montreal,Canada,45.679501,-74.038696,-5
94,Natashquan Airport,Natashquan,Canada,50.18999863,-61.78919983,-5
